[2023-06-28 08:31:03,926 root.clean_queue(): 47]: The RQ queue "default" has been successfully flushed
[2023-06-28 08:31:04,327 root.clean_queue(): 47]: The RQ queue "low" has been successfully flushed
[2023-06-28 08:31:04,938 django.utils.autoreload.run_with_reloader(): 668]: Watching for file changes with StatReloader
[2023-06-28 08:32:31,397 rq.worker.register_birth(): 791]: Registering birth of worker 511150984600438fb034eddf37dca8dd
[2023-06-28 08:32:31,397 rq.worker.register_birth(): 791]: Registering birth of worker 4b12feb851f043f38b5342d9bd103342
[2023-06-28 08:32:31,590 django.utils.autoreload.run_with_reloader(): 668]: Watching for file changes with StatReloader
[2023-06-28 08:34:26,512 root.clean_queue(): 47]: The RQ queue "default" has been successfully flushed
[2023-06-28 08:34:26,914 root.clean_queue(): 47]: The RQ queue "low" has been successfully flushed
[2023-06-28 08:34:27,359 rq.worker.register_birth(): 791]: Registering birth of worker 59ceb3e1a1d94d25bb94262f33f17a1b
[2023-06-28 08:34:27,359 rq.worker.register_birth(): 791]: Registering birth of worker d26f14c9d1fd4de9b49e5cae77b55efe
[2023-06-28 08:34:27,360 rq.worker.bootstrap(): 569]: Worker rq:worker:59ceb3e1a1d94d25bb94262f33f17a1b started with PID 59743, version 1.15.1
[2023-06-28 08:34:27,360 rq.worker.subscribe(): 613]: Subscribing to channel rq:pubsub:59ceb3e1a1d94d25bb94262f33f17a1b
[2023-06-28 08:34:27,360 rq.worker.bootstrap(): 569]: Worker rq:worker:d26f14c9d1fd4de9b49e5cae77b55efe started with PID 59744, version 1.15.1
[2023-06-28 08:34:27,360 rq.worker.subscribe(): 613]: Subscribing to channel rq:pubsub:d26f14c9d1fd4de9b49e5cae77b55efe
[2023-06-28 08:34:27,361 rq.worker.bootstrap(): 573]: *** Listening on [32mdefault[39;49;00m...
[2023-06-28 08:34:27,361 rq.worker.bootstrap(): 573]: *** Listening on [32mlow[39;49;00m...
[2023-06-28 08:34:27,361 rq.worker.heartbeat(): 712]: Sent heartbeat to prevent worker timeout. Next one should arrive in 480 seconds.
[2023-06-28 08:34:27,361 rq.worker.heartbeat(): 712]: Sent heartbeat to prevent worker timeout. Next one should arrive in 480 seconds.
[2023-06-28 08:34:27,362 rq.worker.clean_registries(): 315]: Cleaning registries for queue: default
[2023-06-28 08:34:27,362 rq.worker.clean_registries(): 315]: Cleaning registries for queue: low
[2023-06-28 08:34:27,363 rq.worker.dequeue_job_and_maintain_ttl(): 640]: *** Listening on [32mlow[39;49;00m...
[2023-06-28 08:34:27,363 rq.worker.dequeue_job_and_maintain_ttl(): 640]: *** Listening on [32mdefault[39;49;00m...
[2023-06-28 08:34:27,363 rq.worker.heartbeat(): 712]: Sent heartbeat to prevent worker timeout. Next one should arrive in 480 seconds.
[2023-06-28 08:34:27,363 rq.worker.heartbeat(): 712]: Sent heartbeat to prevent worker timeout. Next one should arrive in 480 seconds.
[2023-06-28 08:34:27,363 rq.worker.dequeue_job_and_maintain_ttl(): 654]: Dequeueing jobs on queues [32mlow[39;49;00m and timeout 405
[2023-06-28 08:34:27,363 rq.worker.dequeue_job_and_maintain_ttl(): 654]: Dequeueing jobs on queues [32mdefault[39;49;00m and timeout 405
[2023-06-28 08:34:27,539 django.utils.autoreload.run_with_reloader(): 668]: Watching for file changes with StatReloader
[2023-06-28 08:34:34,476 rq.worker.request_stop(): 989]: Got signal SIGINT
[2023-06-28 08:34:34,476 rq.worker.request_stop(): 989]: Got signal SIGINT
[2023-06-28 08:34:34,477 rq.worker.handle_warm_shutdown_request(): 1015]: Worker 59ceb3e1a1d94d25bb94262f33f17a1b [PID 59743]: warm shut down requested
[2023-06-28 08:34:34,477 rq.worker.handle_warm_shutdown_request(): 1015]: Worker d26f14c9d1fd4de9b49e5cae77b55efe [PID 59744]: warm shut down requested
[2023-06-28 08:34:34,477 rq.worker.register_death(): 825]: Registering death
[2023-06-28 08:34:34,477 rq.worker.register_death(): 825]: Registering death
